code,name,geography,area_sq_km,population,person_per_sq_km
E06000047,County Durham,Unitary Authority,2225.861,512994,230
E06000005,Darlington,Unitary Authority,197.4779,105584,535
E06000001,Hartlepool,Unitary Authority,93.71700000000001,92088,983
E06000002,Middlesbrough,Unitary Authority,53.881800000000005,138368,2568
E06000057,Northumberland,Unitary Authority,5019.897800000001,316278,63
E06000003,Redcar and Cleveland,Unitary Authority,245.06959999999998,135164,552
E06000004,Stockton-on-Tees,Unitary Authority,204.9332,191824,936
E08000037,Gateshead,Metropolitan District,142.3392,200349,1408
E08000021,Newcastle upon Tyne,Metropolitan District,113.4515,279092,2460
E08000022,North Tyneside,Metropolitan District,82.3005,201206,2445
E08000023,South Tyneside,Metropolitan District,64.4205,148164,2300
E08000024,Sunderland,Metropolitan District,137.4364,275330,2003
E06000008,Blackburn with Darwen,Unitary Authority,137.0223,147657,1078
E06000009,Blackpool,Unitary Authority,34.8708,142080,4074
E06000049,Cheshire East,Unitary Authority,1166.3578,370736,318
E06000050,Cheshire West and Chester,Unitary Authority,920.018,329526,358
E06000063,Cumberland,Unitary Authority,3012.2075,274546,91
E06000006,Halton,Unitary Authority,79.0842,125722,1590
E06000007,Warrington,Unitary Authority,180.628,202709,1122
E06000064,Westmorland and Furness,Unitary Authority,3755.7383999999997,225271,60
E08000001,Bolton,Metropolitan District,139.7921,277296,1984
E08000002,Bury,Metropolitan District,99.46,185422,1864
E08000003,Manchester,Metropolitan District,115.6485,502902,4349
E08000004,Oldham,Metropolitan District,142.3448,225157,1582
E08000005,Rochdale,Metropolitan District,158.1283,211929,1340
E08000006,Salford,Metropolitan District,97.1974,234487,2412
E08000007,Stockport,Metropolitan District,126.0404,283253,2247
E08000008,Tameside,Metropolitan District,103.1542,219727,2130
E08000009,Trafford,Metropolitan District,106.04469999999999,227091,2141
E08000010,Wigan,Metropolitan District,188.1709,318122,1691
E07000117,Burnley,Non-metropolitan District,110.6839,87032,786
E07000118,Chorley,Non-metropolitan District,202.7622,107591,531
E07000119,Fylde,Non-metropolitan District,165.6975,76098,459
E07000120,Hyndburn,Non-metropolitan District,73.00659999999999,80549,1103
E07000121,Lancaster,Non-metropolitan District,566.9313999999999,137823,243
E07000122,Pendle,Non-metropolitan District,169.38,89576,529
E07000123,Preston,Non-metropolitan District,142.2842,140054,984
E07000124,Ribble Valley,Non-metropolitan District,583.1764,57292,98
E07000125,Rossendale,Non-metropolitan District,138.0411,68053,493
E07000126,South Ribble,Non-metropolitan District,113.1417,109181,965
E07000127,West Lancashire,Non-metropolitan District,346.6333,110617,319
E07000128,Wyre,Non-metropolitan District,282.16450000000003,107692,382
E08000011,Knowsley,Metropolitan District,86.5001,145903,1687
E08000012,Liverpool,Metropolitan District,111.8358,465656,4164
E08000014,Sefton,Metropolitan District,156.5785,273969,1750
E08000013,St. Helens,Metropolitan District,136.3587,175405,1286
E08000015,Wirral,Metropolitan District,160.9219,319837,1988
E06000011,East Riding of Yorkshire,Unitary Authority,2403.5994,334673,139
E06000010,"Kingston upon Hull, City of",Unitary Authority,71.5837,256123,3578
E06000012,North East Lincolnshire,Unitary Authority,192.62290000000002,159735,829
E06000013,North Lincolnshire,Unitary Authority,846.5402,167516,198
E06000065,North Yorkshire,Unitary Authority,8037.3722,601206,75
E06000014,York,Unitary Authority,271.9312,197783,727
E08000016,Barnsley,Metropolitan District,329.0777,231865,705
E08000017,Doncaster,Metropolitan District,568.0064,302468,533
E08000018,Rotherham,Metropolitan District,286.5344,257716,899
E08000019,Sheffield,Metropolitan District,367.93019999999996,551756,1500
E08000032,Bradford,Metropolitan District,366.41970000000003,523115,1428
E08000033,Calderdale,Metropolitan District,363.9609,204170,561
E08000034,Kirklees,Metropolitan District,408.5516,422970,1035
E08000035,Leeds,Metropolitan District,551.7067,750683,1361
E08000036,Wakefield,Metropolitan District,338.6197,326433,964
E06000015,Derby,Unitary Authority,78.0312,248943,3190
E06000016,Leicester,Unitary Authority,73.3422,329627,4494
E06000061,North Northamptonshire,Unitary Authority,986.5946,317959,322
E06000018,Nottingham,Unitary Authority,74.6134,303899,4073
E06000017,Rutland,Unitary Authority,381.8311,37581,98
E06000062,West Northamptonshire,Unitary Authority,1377.4108999999999,376008,273
E07000032,Amber Valley,Non-metropolitan District,265.4379,122521,462
E07000033,Bolsover,Non-metropolitan District,160.3346,76029,474
E07000034,Chesterfield,Non-metropolitan District,66.03529999999999,103788,1572
E07000035,Derbyshire Dales,Non-metropolitan District,792.4242999999999,71104,90
E07000036,Erewash,Non-metropolitan District,109.6301,112249,1024
E07000037,High Peak,Non-metropolitan District,539.1433999999999,90982,169
E07000038,North East Derbyshire,Non-metropolitan District,275.6237,99100,360
E07000039,South Derbyshire,Non-metropolitan District,338.12690000000003,94915,281
E07000129,Blaby,Non-metropolitan District,130.4687,94132,721
E07000130,Charnwood,Non-metropolitan District,279.0426,165876,594
E07000131,Harborough,Non-metropolitan District,591.7966,85699,145
E07000132,Hinckley and Bosworth,Non-metropolitan District,297.3514,105328,354
E07000133,Melton,Non-metropolitan District,481.38059999999996,50495,105
E07000134,North West Leicestershire,Non-metropolitan District,279.3279,93670,335
E07000135,Oadby and Wigston,Non-metropolitan District,23.5261,55979,2379
E07000136,Boston,Non-metropolitan District,364.00849999999997,64615,178
E07000137,East Lindsey,Non-metropolitan District,1766.7735999999998,136683,77
E07000138,Lincoln,Non-metropolitan District,35.6901,93085,2608
E07000139,North Kesteven,Non-metropolitan District,922.4714,108518,118
E07000140,South Holland,Non-metropolitan District,750.0762,88390,118
E07000141,South Kesteven,Non-metropolitan District,942.5857000000001,134125,142
E07000142,West Lindsey,Non-metropolitan District,1155.732,89352,77
E07000170,Ashfield,Non-metropolitan District,109.5581,119522,1091
E07000171,Bassetlaw,Non-metropolitan District,637.8035,113003,177
E07000172,Broxtowe,Non-metropolitan District,80.0988,109749,1370
E07000173,Gedling,Non-metropolitan District,119.9818,113741,948
E07000174,Mansfield,Non-metropolitan District,76.6974,104551,1363
E07000175,Newark and Sherwood,Non-metropolitan District,651.3403,114982,177
E07000176,Rushcliffe,Non-metropolitan District,409.2318,111248,272
E06000019,"Herefordshire, County of",Unitary Authority,2179.7085,183619,84
E06000051,Shropshire,Unitary Authority,3197.2756,307108,96
E06000021,Stoke-on-Trent,Unitary Authority,93.44850000000001,248719,2662
E06000020,Telford and Wrekin,Unitary Authority,290.3137,166831,575
E07000192,Cannock Chase,Non-metropolitan District,78.8825,97582,1237
E07000193,East Staffordshire,Non-metropolitan District,386.9593,113858,294
E07000194,Lichfield,Non-metropolitan District,331.2944,100911,305
E07000195,Newcastle-under-Lyme,Non-metropolitan District,210.9571,123878,587
E07000196,South Staffordshire,Non-metropolitan District,407.32239999999996,108318,266
E07000197,Stafford,Non-metropolitan District,598.1722,130895,219
E07000198,Staffordshire Moorlands,Non-metropolitan District,575.8498000000001,97209,169
E07000199,Tamworth,Non-metropolitan District,30.850700000000003,76895,2492
E07000218,North Warwickshire,Non-metropolitan District,284.2614,62089,218
E07000219,Nuneaton and Bedworth,Non-metropolitan District,78.9503,125409,1588
E07000220,Rugby,Non-metropolitan District,351.11330000000004,100496,286
E07000221,Stratford-on-Avon,Non-metropolitan District,977.8692,120824,124
E07000222,Warwick,Non-metropolitan District,282.8821,137736,487
E08000025,Birmingham,Metropolitan District,267.7912,1074283,4012
E08000026,Coventry,Metropolitan District,98.6392,316915,3213
E08000027,Dudley,Metropolitan District,97.95819999999999,313261,3198
E08000028,Sandwell,Metropolitan District,85.55879999999999,309042,3612
E08000029,Solihull,Metropolitan District,178.282,206856,1160
E08000030,Walsall,Metropolitan District,103.9736,269524,2592
E08000031,Wolverhampton,Metropolitan District,69.4366,249852,3598
E07000234,Bromsgrove,Non-metropolitan District,216.96830000000003,93732,432
E07000235,Malvern Hills,Non-metropolitan District,577.071,74706,129
E07000236,Redditch,Non-metropolitan District,54.2509,84318,1554
E07000237,Worcester,Non-metropolitan District,33.2781,98679,2965
E07000238,Wychavon,Non-metropolitan District,663.5418,117074,176
E07000239,Wyre Forest,Non-metropolitan District,195.40380000000002,98048,502
E06000055,Bedford,Unitary Authority,476.4082,157840,331
E06000056,Central Bedfordshire,Unitary Authority,715.6655000000001,255644,357
E06000032,Luton,Unitary Authority,43.3526,203641,4697
E06000031,Peterborough,Unitary Authority,343.3782,184457,537
E06000033,Southend-on-Sea,Unitary Authority,41.6742,174274,4182
E06000034,Thurrock,Unitary Authority,163.8371,158268,966
E07000008,Cambridge,Non-metropolitan District,40.6989,122725,3015
E07000009,East Cambridgeshire,Non-metropolitan District,651.286,84245,129
E07000010,Fenland,Non-metropolitan District,546.4502,95461,175
E07000011,Huntingdonshire,Non-metropolitan District,906.176,170039,188
E07000012,South Cambridgeshire,Non-metropolitan District,901.6246000000001,149842,166
E07000066,Basildon,Non-metropolitan District,110.001,174971,1591
E07000067,Braintree,Non-metropolitan District,611.7079,147514,241
E07000068,Brentwood,Non-metropolitan District,153.1241,73841,482
E07000069,Castle Point,Non-metropolitan District,44.673500000000004,87964,1969
E07000070,Chelmsford,Non-metropolitan District,338.75800000000004,168491,497
E07000071,Colchester,Non-metropolitan District,328.2239,173614,529
E07000072,Epping Forest,Non-metropolitan District,338.98400000000004,124880,368
E07000073,Harlow,Non-metropolitan District,30.5379,82177,2691
E07000074,Maldon,Non-metropolitan District,357.8158,61720,172
E07000075,Rochford,Non-metropolitan District,167.0927,83333,499
E07000076,Tendring,Non-metropolitan District,336.3244,138062,411
E07000077,Uttlesford,Non-metropolitan District,641.1825,80032,125
E07000095,Broxbourne,Non-metropolitan District,51.4422,93702,1822
E07000096,Dacorum,Non-metropolitan District,212.47619999999998,145298,684
E07000242,East Hertfordshire,Non-metropolitan District,475.66949999999997,138155,290
E07000098,Hertsmere,Non-metropolitan District,101.12809999999999,100379,993
E07000099,North Hertfordshire,Non-metropolitan District,375.3821,127494,340
E07000240,St Albans,Non-metropolitan District,161.2059,141248,876
E07000243,Stevenage,Non-metropolitan District,25.9692,84247,3244
E07000102,Three Rivers,Non-metropolitan District,88.8242,87921,990
E07000103,Watford,Non-metropolitan District,21.4304,90653,4230
E07000241,Welwyn Hatfield,Non-metropolitan District,129.5369,110727,855
E07000143,Breckland,Non-metropolitan District,1305.1166,131009,100
E07000144,Broadland,Non-metropolitan District,552.0608,124740,226
E07000145,Great Yarmouth,Non-metropolitan District,174.31419999999997,97424,559
E07000146,King's Lynn and West Norfolk,Non-metropolitan District,1439.5227,147936,103
E07000147,North Norfolk,Non-metropolitan District,965.9669,101664,105
E07000148,Norwich,Non-metropolitan District,39.0222,132158,3387
E07000149,South Norfolk,Non-metropolitan District,907.5764999999999,124495,137
E07000200,Babergh,Non-metropolitan District,593.7241,87901,148
E07000244,East Suffolk,Non-metropolitan District,1260.9896,239946,190
E07000202,Ipswich,Non-metropolitan District,39.509699999999995,133729,3385
E07000203,Mid Suffolk,Non-metropolitan District,871.0708,97076,111
E07000245,West Suffolk,Non-metropolitan District,1034.6755,171481,166
E09000007,Camden,London Borough,21.789499999999997,220087,10101
E09000001,City of London,London Borough,2.8904,7412,2564
E09000012,Hackney,London Borough,19.0471,247182,12977
E09000013,Hammersmith and Fulham,London Borough,16.403599999999997,182445,11122
E09000014,Haringey,London Borough,29.598499999999998,255540,8634
E09000019,Islington,London Borough,14.8567,206285,13885
E09000020,Kensington and Chelsea,London Borough,12.1257,158251,13051
E09000022,Lambeth,London Borough,26.808000000000003,304481,11358
E09000023,Lewisham,London Borough,35.1483,276938,7879
E09000025,Newham,London Borough,36.198,310460,8577
E09000028,Southwark,London Borough,28.8765,288717,9998
E09000030,Tower Hamlets,London Borough,19.771,256012,12949
E09000032,Wandsworth,London Borough,34.257,307710,8982
E09000033,Westminster,London Borough,21.4771,219582,10224
E09000002,Barking and Dagenham,London Borough,36.1015,187029,5181
E09000003,Barnet,London Borough,86.7481,357538,4122
E09000004,Bexley,London Borough,60.5784,232774,3843
E09000005,Brent,London Borough,43.233000000000004,312245,7222
E09000006,Bromley,London Borough,150.1303,310554,2069
E09000008,Croydon,London Borough,86.49680000000001,364815,4218
E09000009,Ealing,London Borough,55.5445,339314,6109
E09000010,Enfield,London Borough,80.8308,313935,3884
E09000011,Greenwich,London Borough,47.306999999999995,255483,5401
E09000015,Harrow,London Borough,50.4635,240499,4766
E09000016,Havering,London Borough,112.3414,237927,2118
E09000017,Hillingdon,London Borough,115.70049999999999,275499,2381
E09000018,Hounslow,London Borough,55.970299999999995,254927,4555
E09000021,Kingston upon Thames,London Borough,37.2652,160436,4305
E09000024,Merton,London Borough,37.6248,200543,5330
E09000026,Redbridge,London Borough,56.4035,281395,4989
E09000027,Richmond upon Thames,London Borough,57.393699999999995,187527,3267
E09000029,Sutton,London Borough,43.84270000000001,191123,4359
E09000031,Waltham Forest,London Borough,38.8082,259742,6693
E06000036,Bracknell Forest,Unitary Authority,109.3843,113696,1039
E06000043,Brighton and Hove,Unitary Authority,82.833,272952,3295
E06000046,Isle of Wight,Unitary Authority,379.6199,138392,365
E06000035,Medway,Unitary Authority,193.71419999999998,264885,1367
E06000042,Milton Keynes,Unitary Authority,308.6265,249895,810
E06000044,Portsmouth,Unitary Authority,40.3816,205433,5087
E06000038,Reading,Unitary Authority,40.3979,155339,3845
E06000039,Slough,Unitary Authority,32.5421,140713,4324
E06000045,Southampton,Unitary Authority,49.8807,235870,4729
E06000037,West Berkshire,Unitary Authority,704.1828999999999,154148,219
E06000040,Windsor and Maidenhead,Unitary Authority,196.50169999999997,145098,738
E06000041,Wokingham,Unitary Authority,178.96900000000002,154943,866
E06000060,Buckinghamshire,Unitary Authority,1564.9377,506550,324
E07000061,Eastbourne,Non-metropolitan District,44.1614,99308,2249
E07000062,Hastings,Non-metropolitan District,29.7964,90173,3026
E07000063,Lewes,Non-metropolitan District,292.107,97584,334
E07000064,Rother,Non-metropolitan District,509.4414,90729,178
E07000065,Wealden,Non-metropolitan District,833.1257,149415,179
E07000084,Basingstoke and Deane,Non-metropolitan District,633.8086,168550,266
E07000085,East Hampshire,Non-metropolitan District,514.4274,116010,226
E07000086,Eastleigh,Non-metropolitan District,79.69149999999999,125852,1579
E07000087,Fareham,Non-metropolitan District,74.2526,111931,1507
E07000088,Gosport,Non-metropolitan District,25.3739,82669,3258
E07000089,Hart,Non-metropolitan District,215.2651,91662,426
E07000090,Havant,Non-metropolitan District,55.7408,120783,2167
E07000091,New Forest,Non-metropolitan District,752.1755,176789,235
E07000092,Rushmoor,Non-metropolitan District,39.045100000000005,94354,2417
E07000093,Test Valley,Non-metropolitan District,627.6055,116698,186
E07000094,Winchester,Non-metropolitan District,660.9707000000001,116820,177
E07000105,Ashford,Non-metropolitan District,580.6174,118405,204
E07000106,Canterbury,Non-metropolitan District,308.7527,150600,488
E07000107,Dartford,Non-metropolitan District,72.72579999999999,97604,1342
E07000108,Dover,Non-metropolitan District,315.3378,111718,354
E07000112,Folkestone and Hythe,Non-metropolitan District,356.9211,108199,303
E07000109,Gravesham,Non-metropolitan District,98.9913,101766,1028
E07000110,Maidstone,Non-metropolitan District,393.3293,155764,396
E07000111,Sevenoaks,Non-metropolitan District,369.23080000000004,115351,312
E07000113,Swale,Non-metropolitan District,373.43660000000006,136324,365
E07000114,Thanet,Non-metropolitan District,103.6091,134402,1297
E07000115,Tonbridge and Malling,Non-metropolitan District,240.11450000000002,121087,504
E07000116,Tunbridge Wells,Non-metropolitan District,331.3287,115246,348
E07000177,Cherwell,Non-metropolitan District,588.7454,142252,242
E07000178,Oxford,Non-metropolitan District,45.602700000000006,150245,3295
E07000179,South Oxfordshire,Non-metropolitan District,678.4922,134961,199
E07000180,Vale of White Horse,Non-metropolitan District,577.6639,121891,211
E07000181,West Oxfordshire,Non-metropolitan District,714.4221000000001,105442,148
E07000207,Elmbridge,Non-metropolitan District,95.0521,131428,1383
E07000208,Epsom and Ewell,Non-metropolitan District,34.0791,75191,2206
E07000209,Guildford,Non-metropolitan District,270.9311,137580,508
E07000210,Mole Valley,Non-metropolitan District,258.3213,85637,332
E07000211,Reigate and Banstead,Non-metropolitan District,129.1439,138375,1071
E07000212,Runnymede,Non-metropolitan District,78.0407,80501,1032
E07000213,Spelthorne,Non-metropolitan District,44.888000000000005,95852,2135
E07000214,Surrey Heath,Non-metropolitan District,95.09299999999999,86378,908
E07000215,Tandridge,Non-metropolitan District,248.19459999999998,83178,335
E07000216,Waverley,Non-metropolitan District,345.17019999999997,121754,353
E07000217,Woking,Non-metropolitan District,63.603500000000004,99493,1564
E07000223,Adur,Non-metropolitan District,42.0656,61334,1458
E07000224,Arun,Non-metropolitan District,220.99099999999999,149811,678
E07000225,Chichester,Non-metropolitan District,786.195,113995,145
E07000226,Crawley,Non-metropolitan District,44.971199999999996,107053,2380
E07000227,Horsham,Non-metropolitan District,530.2785,131540,248
E07000228,Mid Sussex,Non-metropolitan District,334.0295,140188,420
E07000229,Worthing,Non-metropolitan District,32.520900000000005,104998,3229
E06000022,Bath and North East Somerset,Unitary Authority,345.8783,175538,508
E06000058,"Bournemouth, Christchurch and Poole",Unitary Authority,162.07,379441,2341
E06000023,"Bristol, City of",Unitary Authority,109.66680000000001,428074,3903
E06000052,Cornwall,Unitary Authority,3545.4344,533760,151
E06000059,Dorset,Unitary Authority,2490.9567,365897,147
E06000053,Isles of Scilly,Unitary Authority,16.3177,2224,136
E06000024,North Somerset,Unitary Authority,373.7493,203091,543
E06000026,Plymouth,Unitary Authority,79.8496,256589,3213
E06000066,Somerset,Unitary Authority,3450.2893,531581,154
E06000025,South Gloucestershire,Unitary Authority,497.05080000000004,263417,530
E06000030,Swindon,Unitary Authority,230.09330000000003,209709,911
E06000027,Torbay,Unitary Authority,62.8869,131193,2086
E06000054,Wiltshire,Unitary Authority,3255.3379999999997,474319,146
E07000040,East Devon,Non-metropolitan District,814.2384,133272,164
E07000041,Exeter,Non-metropolitan District,47.033100000000005,117063,2489
E07000042,Mid Devon,Non-metropolitan District,912.9008,77936,85
E07000043,North Devon,Non-metropolitan District,1085.8924,93976,87
E07000044,South Hams,Non-metropolitan District,886.5469,83563,94
E07000045,Teignbridge,Non-metropolitan District,673.7596000000001,124271,184
E07000046,Torridge,Non-metropolitan District,983.8005,63973,65
E07000047,West Devon,Non-metropolitan District,1159.6722,53655,46
E07000078,Cheltenham,Non-metropolitan District,46.596000000000004,115645,2482
E07000079,Cotswold,Non-metropolitan District,1164.5244,83180,71
E07000080,Forest of Dean,Non-metropolitan District,525.9019999999999,82200,156
E07000081,Gloucester,Non-metropolitan District,40.553000000000004,121921,3006
E07000082,Stroud,Non-metropolitan District,460.5423,113074,246
E07000083,Tewkesbury,Non-metropolitan District,414.4144,82269,199
W06000001,Isle of Anglesey,Unitary Authority,712.0650999999999,69913,98
W06000002,Gwynedd,Unitary Authority,2535.1434,121523,48
W06000003,Conwy,Unitary Authority,1125.8225,115326,102
W06000004,Denbighshire,Unitary Authority,836.9177000000001,93919,112
W06000005,Flintshire,Unitary Authority,439.8302,152666,347
W06000006,Wrexham,Unitary Authority,503.7737,135070,268
W06000023,Powys,Unitary Authority,5180.6708,133071,26
W06000008,Ceredigion,Unitary Authority,1784.9805999999999,75293,42
W06000009,Pembrokeshire,Unitary Authority,1618.3444,122613,76
W06000010,Carmarthenshire,Unitary Authority,2370.2764,183961,78
W06000011,Swansea,Unitary Authority,377.61449999999996,238691,632
W06000012,Neath Port Talbot,Unitary Authority,441.24449999999996,139880,317
W06000013,Bridgend,Unitary Authority,250.7854,139410,556
W06000014,Vale of Glamorgan,Unitary Authority,331.1487,126679,383
W06000015,Cardiff,Unitary Authority,140.9144,345442,2451
W06000016,Rhondda Cynon Taf,Unitary Authority,424.1501,234373,553
W06000024,Merthyr Tydfil,Unitary Authority,111.4462,58851,528
W06000018,Caerphilly,Unitary Authority,277.3877,178782,645
W06000019,Blaenau Gwent,Unitary Authority,108.728,69812,642
W06000020,Torfaen,Unitary Authority,125.6984,91190,725
W06000021,Monmouthshire,Unitary Authority,849.1441,91508,108
W06000022,Newport,Unitary Authority,190.4312,145785,766
S12000033,Aberdeen City,Council Area,185.5713,222460,1199
S12000034,Aberdeenshire,Council Area,6312.6277,253650,40
S12000041,Angus,Council Area,2181.4523,116200,53
S12000035,Argyll and Bute,Council Area,6906.8251,88930,13
S12000036,City of Edinburgh,Council Area,263.395,477940,1815
S12000005,Clackmannanshire,Council Area,159.185,51500,324
S12000006,Dumfries and Galloway,Council Area,6425.834699999999,151410,24
S12000042,Dundee City,Council Area,59.8005,147200,2462
S12000008,East Ayrshire,Council Area,1262.1315,122690,97
S12000045,East Dunbartonshire,Council Area,174.4891,105000,602
S12000010,East Lothian,Council Area,679.2405,99920,147
S12000011,East Renfrewshire,Council Area,174.24740000000003,90810,521
S12000014,Falkirk,Council Area,297.1374,156250,526
S12000047,Fife,Council Area,1325.1903,365300,276
S12000049,Glasgow City,Council Area,174.6221,593060,3396
S12000017,Highland,Council Area,25653.0881,232730,9
S12000018,Inverclyde,Council Area,160.4385,81220,506
S12000019,Midlothian,Council Area,353.68230000000005,83450,236
S12000020,Moray,Council Area,2237.5557,93470,42
S12000013,Na h-Eileanan Siar,Council Area,3055.5359000000003,27690,9
S12000021,North Ayrshire,Council Area,885.2845,138090,156
S12000050,North Lanarkshire,Council Area,469.99150000000003,337720,719
S12000023,Orkney Islands,Council Area,990.4889999999999,21420,22
S12000048,Perth and Kinross,Council Area,5285.6047,146850,28
S12000038,Renfrewshire,Council Area,261.49080000000004,174700,668
S12000026,Scottish Borders,Council Area,4731.7677,113880,24
S12000027,Shetland Islands,Council Area,1467.4775,23240,16
S12000028,South Ayrshire,Council Area,1222.2264,112980,92
S12000029,South Lanarkshire,Council Area,1771.8859,313900,177
S12000030,Stirling,Council Area,2186.1581,90330,41
S12000039,West Dunbartonshire,Council Area,158.7649,90610,571
S12000040,West Lothian,Council Area,427.7393,175300,410
N09000001,Antrim and Newtownabbey,Local Government District,571.4315,138651,243
N09000011,Ards and North Down,Local Government District,458.3476,156943,342
N09000002,"Armagh City, Banbridge and Craigavon",Local Government District,1331.6752,200298,150
N09000003,Belfast,Local Government District,132.9638,333895,2511
N09000004,Causeway Coast and Glens,Local Government District,1979.5816,140907,71
N09000005,Derry City and Strabane,Local Government District,1237.3,148191,120
N09000006,Fermanagh and Omagh,Local Government District,2835.9389,113501,40
N09000007,Lisburn and Castlereagh,Local Government District,503.57599999999996,135280,269
N09000008,Mid and East Antrim,Local Government District,1044.5278,135365,130
N09000009,Mid Ulster,Local Government District,1823.0343,139011,76
N09000010,"Newry, Mourne and Down",Local Government District,1628.2772,172276,106
